time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
0.06,-1.99309531303e-14,-4.25714792759e-15,0.0,8.23319634691e-09,6.28318526744,0.0,-1.99311179446e-12,-4.25714058769e-13,-0.58878796968,3.83263539805e-07,-1.98698472841e-06,0.0,0.380614763462,0.0116603712318,0.123719052647,-0.21498522229,1,-90.0
0.06,-1.41416709617e-15,2.61807186287e-15,0.0,6.28318530183,6.28318530452,0.0,-1.41416776423e-13,2.6180745351e-13,-0.588788103954,-2.84203734532e-07,-1.14666210849e-07,0.0,-0.120452931828,0.0651401744249,0.171183434215,-0.101482427009,2,-90.0
0.06,-7.82676349213e-16,1.25478070813e-15,0.0,6.28318530481,6.28318530575,0.0,-7.82676349213e-14,1.25478137638e-13,-0.588788136221,-1.02364419986e-07,-5.57465053406e-08,0.0,-0.0948712240709,0.0576141081895,-0.0975980172085,0.0204293415937,3,-90.0
0.06,6.53598800748e-15,-1.55798349959e-14,0.0,3.13100398941e-08,1.30322739267e-08,0.0,6.53596999739e-13,-1.55797342728e-12,-0.588787931916,1.5929610069e-06,6.51610154375e-07,0.0,0.0360266671103,0.22081914499,-0.206252030492,0.394557327527,4,-90.0
0.06,-2.10350859849e-15,-3.6802553285e-15,0.0,7.3352968144e-09,6.28318530314,0.0,-2.10351060278e-13,-3.68024998371e-13,-0.588788110507,3.66763697445e-07,-1.83043717402e-07,0.0,-0.123650802772,-0.00446532331668,0.060923396715,0.174432411795,5,-90.0
0.06,1.27094811332e-15,-1.00451247381e-16,0.0,2.00210514834e-10,2.35817854133e-09,0.0,1.27094744516e-13,-1.00451247381e-14,-0.588788121215,1.00105457699e-08,9.74744232532e-08,0.0,0.100470081543,-0.138996029458,0.061650067414,0.0673045115962,6,-90.0
0.06,-2.20019920566e-15,2.76674151802e-15,0.0,6.28318530189,6.2831853031,0.0,-2.20020120806e-13,2.76674485535e-13,-0.5887880039,-2.38675622209e-07,-1.70987838659e-07,0.0,-0.260852567254,0.228186242889,-0.189488751873,0.125766970086,7,-90.0
0.06,-8.07650979289e-15,1.67642582035e-17,0.0,6.28318530708,6.28318529149,0.0,-8.07653714869e-13,1.67642582035e-15,-0.588787961284,-1.06891616653e-08,-7.39629068256e-07,0.0,-0.37033788065,0.280182392048,0.0369808354365,-0.0352966975156,8,-90.0
0.06,-3.89106199888e-15,-6.13704897571e-15,0.0,1.21675887144e-08,6.28318529936,0.0,-3.89106800198e-13,-6.13703363446e-13,-0.58878792701,6.01454629786e-07,-3.96447623157e-07,0.0,0.171489656609,-0.0339396369552,-0.304216627098,-0.370288886408,9,-90.0
0.06,-1.28009578114e-14,-1.6213564798e-14,0.0,3.24978373101e-08,6.28318528208,0.0,-1.28010257998e-12,-1.62134561498e-12,-0.588787849829,1.64421031885e-06,-1.20978111961e-06,0.0,-0.377734498096,0.222946005003,-0.128559204217,0.366449580874,10,-90.0
0.06,-1.91601194332e-15,-2.51190516356e-14,0.0,5.00806995873e-08,6.28318530342,0.0,-1.91601327776e-13,-2.5118790086e-12,-0.588787962185,2.50398270302e-06,-1.81970444816e-07,0.0,-0.149704313241,-0.0921865010338,0.0344710735817,0.428459956935,11,-90.0
0.06,1.98443105948e-15,-1.05587167232e-15,0.0,2.17470130792e-09,3.95757204785e-09,0.0,1.98442972637e-13,-1.05587100577e-13,-0.588787850203,1.15276559503e-07,1.97878280449e-07,0.0,0.394785712391,0.412636861367,-0.0378083703964,0.09538626414,12,-90.0
0.06,2.51061403576e-15,1.0899871566e-15,0.0,6.28318530498,4.86456475102e-09,0.0,2.51061136288e-13,1.08998782482e-13,-0.588788130891,-1.11206842416e-07,2.24719394282e-07,0.0,-0.0189639666682,-0.136321023358,0.0905232455243,-0.0168080599664,13,-90.0
0.06,9.94852496287e-15,-7.35985725159e-15,0.0,1.44007801239e-08,1.98317078315e-08,0.0,9.94848356628e-13,-7.35983455023e-13,-0.588788041131,6.8998718006e-07,9.91577179624e-07,0.0,0.0305602386159,0.270481502578,-0.00308010757404,-0.231176168786,14,-90.0
0.06,-6.91002008376e-15,1.33768033838e-14,0.0,6.2831852809,6.28318529338,0.0,-6.91004010503e-13,1.33768774625e-12,-0.58878798851,-1.27244358213e-06,-6.91434977066e-07,0.0,0.22463036157,-0.0168634424084,-0.341827635983,0.140407829634,15,-90.0
0.06,5.97084011729e-15,-1.59836626739e-15,0.0,3.1302214154e-09,1.19891820916e-08,0.0,5.97082542185e-13,-1.59836493144e-13,-0.588788090102,1.50941138924e-07,6.11192436082e-07,0.0,-0.0559688179985,0.215583702131,-0.0825377929005,-0.135703866751,16,-90.0
0.06,1.22115354371e-14,6.58645005995e-15,0.0,6.28318529404,2.43490978491e-08,0.0,1.22114734048e-12,6.58646806933e-13,-0.588787927237,-6.56801240382e-07,1.2174425174e-06,0.0,0.238784170346,0.381701700729,0.218737311149,-0.00376274042895,17,-90.0
0.06,3.41274327992e-15,-9.3771601669e-15,0.0,1.83936137432e-08,6.80362166605e-09,0.0,3.41273860745e-13,-9.37712345466e-13,-0.588788008739,8.86574689411e-07,3.40180122847e-07,0.0,0.188253889211,0.245393948006,-0.00498232925807,-0.260975104942,18,-90.0
0.06,-4.6153441035e-14,-2.25767906936e-14,0.0,4.50609309866e-08,6.28318521569,0.0,-4.61543225877e-12,-2.25765794398e-12,-0.588787472364,2.25300422019e-06,-4.50797412901e-06,0.0,-0.580313225899,0.0350215377479,0.360333032849,0.542170032076,19,-90.0
